dataset	family	model_key	triplet_score	dataset_rank_int	layer_name	layer_index	family_rank
AGIQA-3K	ViT	vit_tiny	0.7415679124886052	30	block_004	4	2
AGIQA-3K	ViT	vit_large	0.7037374658158615	36	hidden_state_012	12	3
AGIQA-3K	ViT	vit_huge	0.6859617137648132	38	hidden_state_016	16	4
AGIQA-3K	ViT	vit_base	0.5916134913400182	48	hidden_state_007	7	5
CSIQ	CLIP	clip_vit_b16	0.9731084776663628	9	hidden_state_012	12	1
CSIQ	CLIP	clip_vit_l14_336	0.9585232452142206	11	image_embeds_l2	27	2
CSIQ	CLIP	clip_vit_b32	0.9279854147675479	21	image_embeds_l2	15	3
CSIQ	CLIP	clip_vit_l14	0.9115770282588879	28	image_embeds_l2	27	4
CSIQ	ConvNeXt	convnext_tiny	0.8226982680036463	45	hidden_state_002	2	1
CSIQ	ConvNeXt	convnext_small	0.7629899726526892	52	hidden_state_004	4	2
CSIQ	ConvNeXt	convnext_base	0.7461257976298997	56	hidden_state_004	4	3
CSIQ	ConvNeXt	convnext_large	0.662260711030082	64	hidden_state_004	4	4
CSIQ	DINO	dino_vits8	0.8249772105742936	44	hidden_state_012	12	1
CSIQ	DINO	dino_vits16	0.7228805834092981	58	hidden_state_012	12	2
CSIQ	DINO	dino_vitb16	0.7206016408386509	59	hidden_state_012	12	3
CSIQ	DINO	dino_vitb8	0.6891522333637192	63	hidden_state_012	12	4
CSIQ	DINOv2	dinov2_base	0.9247948951686418	23	hidden_state_011	11	1
CSIQ	DINOv2	dinov2_large	0.9079307201458524	29	hidden_state_024	24	2
CSIQ	DINOv2	dinov2_small	0.9047402005469463	31	hidden_state_012	12	3
CSIQ	DINOv2	dinov2_giant	0.8805834092980858	36	hidden_state_040	40	4
CSIQ	DINOv3	dinov3_vit7b16	0.9576116681859617	12	block_013	13	1
CSIQ	DINOv3	dinov3_vits16	0.935278030993619	17	block_010	10	2
CSIQ	DINOv3	dinov3_vits16plus	0.9298085688240656	19	block_009	9	3
CSIQ	DINOv3	dinov3_vitb16	0.9051959890610757	30	block_009	9	4
CSIQ	DINOv3	dinov3_vitl16	0.8614402917046491	40	block_016	16	5
CSIQ	DINOv3	dinov3_vith16plus	0.8181403828623519	46	block_027	27	6
CSIQ	FastViT	fastvit_ma36	0.8769371011850501	37	feature_map_002	2	1
CSIQ	FastViT	fastvit_s12	0.8641750227894256	39	feature_map_002	2	2
CSIQ	FastViT	fastvit_t8	0.8555150410209662	41	feature_map_003	3	3
CSIQ	FastViT	fastvit_sa12	0.8372835004557886	42	feature_map_002	2	4
CSIQ	FastViT	fastvit_t12	0.7698268003646308	50	feature_map_002	2	5
CSIQ	FastViT	fastvit_sa36	0.7474931631722881	55	feature_map_002	2	6
CSIQ	FastViT	fastvit_sa24	0.7347310847766636	57	feature_map_002	2	7
CSIQ	FastViTHD	fastvithd_05b	0.9963536918869644	1	image_embeddings	44	1
CSIQ	FastViTHD	fastvithd_15b	0.9963536918869644	2	image_embeddings	44	2
CSIQ	FastViTHD	fastvithd_7b	0.9822242479489517	5	canonical_embedding	45	3
CSIQ	I-JEPA	ijepa_vith14	0.7625341841385598	53	canonical_embedding	33	1
CSIQ	InternViT	internvit_6b_v25	0.9776663628076572	8	hidden_state_041	41	1
CSIQ	InternViT	internvit_300m_v25	0.39334548769371014	74	hidden_state_020	20	2
CSIQ	InternViT	internvit_300m	0.2146763901549681	75	hidden_state_009	9	3
CSIQ	MAE	vit_mae_large	0.7958067456700091	48	hidden_state_023	23	1
CSIQ	MAE	vit_mae_huge	0.776207839562443	49	hidden_state_022	22	2
CSIQ	MAE	vit_mae_base	0.7611668185961714	54	hidden_state_012	12	3
CSIQ	ResNeXt	resnext101_32x8d	0.8992707383773929	32	feature_map_003	3	1
CSIQ	ResNeXt	resnext50_32x4d	0.8992707383773928	33	feature_map_004	4	2
CSIQ	ResNet	resnet50	0.915679124886053	26	hidden_state_004	4	1
CSIQ	ResNet	resnet34	0.8828623518687329	35	hidden_state_004	4	2
CSIQ	ResNet	resnet18	0.8687329079307202	38	hidden_state_004	4	3
CSIQ	ResNet	resnet101	0.7661804922515953	51	hidden_state_004	4	4
CSIQ	ResNet	resnet152	0.7160437556973565	60	hidden_state_004	4	5
CSIQ	SigLIP	siglip_so400m	0.9521422060164084	13	image_embeds_l2	29	1
CSIQ	SigLIP	siglip_base	0.9402917046490429	16	hidden_state_012	12	2
CSIQ	SigLIP	siglip_large	0.9266180492251596	22	hidden_state_014	14	3
CSIQ	SigLIP2	siglip2_base_naflex	0.9822242479489517	6	image_embeds_l2	2	1
CSIQ	SigLIP2	siglip2_base	0.9644484958979034	10	image_embeds_l2	2	2
CSIQ	SigLIP2	siglip2_large	0.9179580674567	24	image_embeds_l2	2	3
CSIQ	SigLIP2	siglip2_so400m_naflex	0.9152233363719234	27	image_embeds_l2	2	4
CSIQ	SigLIP2	siglip2_so400m	0.8135824977210575	47	image_embeds_l2	2	5
CSIQ	Swin	swin_tiny	0.6914311759343664	62	hidden_state_004	4	1
CSIQ	Swin	swin_small	0.5938924339106655	68	canonical_embedding	5	2
CSIQ	Swin	swin_base	0.4977210574293528	71	canonical_embedding	5	3
CSIQ	Swin	swin_large	0.3979033728350046	73	canonical_embedding	5	4
CSIQ	SwinV2	swinv2_tiny	0.6166818596171377	67	hidden_state_001	1	1
CSIQ	SwinV2	swinv2_small	0.544211485870556	69	hidden_state_001	1	2
CSIQ	SwinV2	swinv2_base	0.5173199635369188	70	hidden_state_002	2	3
CSIQ	SwinV2	swinv2_large	0.4380127620783956	72	hidden_state_002	2	4
CSIQ	VGG	vgg19	0.9949863263445762	3	feature_map_004	4	1
CSIQ	VGG	vgg16	0.9863263445761168	4	feature_map_004	4	2
CSIQ	VGG	vgg19_bn	0.9794895168641751	7	feature_map_005	5	3
CSIQ	VGG	vgg13	0.95077484047402	14	feature_map_005	5	4
CSIQ	VGG	vgg16_bn	0.95077484047402	15	feature_map_004	4	5
CSIQ	VGG	vgg11	0.9325432999088423	18	feature_map_004	4	6
CSIQ	VGG	vgg13_bn	0.9284412032816773	20	feature_map_005	5	7
CSIQ	VGG	vgg11_bn	0.8992707383773928	34	feature_map_004	4	8
CSIQ	ViT	vit_tiny	0.9175022789425706	25	block_011	11	1
CSIQ	ViT	vit_small	0.8372835004557886	43	block_011	11	2
CSIQ	ViT	vit_base	0.7014585232452142	61	canonical_embedding	13	3
CSIQ	ViT	vit_large	0.6536007292616226	65	canonical_embedding	25	4
CSIQ	ViT	vit_huge	0.6289881494986327	66	hidden_state_031	31	5
LIVEC	CLIP	clip_vit_l14	0.9339106654512306	14	hidden_state_020	20	1
LIVEC	CLIP	clip_vit_l14_336	0.8974475843208751	20	hidden_state_020	20	2
LIVEC	CLIP	clip_vit_b16	0.678669097538742	52	hidden_state_001	1	3
LIVEC	CLIP	clip_vit_b32	0.5888787602552416	60	hidden_state_002	2	4
LIVEC	ConvNeXt	convnext_tiny	0.731996353691887	43	hidden_state_000	0	1
LIVEC	ConvNeXt	convnext_base	0.6522333637192342	56	hidden_state_000	0	2
LIVEC	ConvNeXt	convnext_large	0.5779398359161348	61	hidden_state_000	0	3
LIVEC	ConvNeXt	convnext_small	0.5665451230628988	62	hidden_state_000	0	4
LIVEC	DINO	dino_vitb16	0.9690063810391978	7	hidden_state_011	11	1
LIVEC	DINO	dino_vitb8	0.9147675478577939	18	hidden_state_010	10	2
LIVEC	DINO	dino_vits16	0.9102096627164995	19	hidden_state_012	12	3
LIVEC	DINO	dino_vits8	0.8746581586144029	24	hidden_state_001	1	4
LIVEC	DINOv2	dinov2_giant	0.9922515952597994	3	hidden_state_033	33	1
LIVEC	DINOv2	dinov2_base	0.9762989972652689	5	hidden_state_006	6	2
LIVEC	DINOv2	dinov2_large	0.9608021877848678	9	hidden_state_022	22	3
LIVEC	DINOv2	dinov2_small	0.927073837739289	16	hidden_state_010	10	4
LIVEC	DINOv3	dinov3_vith16plus	0.9945305378304466	2	block_027	27	1
LIVEC	DINOv3	dinov3_vitl16	0.9626253418413856	8	block_023	23	2
LIVEC	DINOv3	dinov3_vits16plus	0.9293527803099362	15	block_008	8	3
LIVEC	DINOv3	dinov3_vit7b16	0.8732907930720146	25	block_034	34	4
LIVEC	DINOv3	dinov3_vits16	0.8226982680036463	29	canonical_embedding	12	5
LIVEC	DINOv3	dinov3_vitb16	0.772105742935278	35	block_010	10	6
LIVEC	FastViT	fastvit_ma36	0.8094804010938925	31	feature_map_003	3	1
LIVEC	FastViT	fastvit_sa12	0.7456700091157702	40	feature_map_002	2	2
LIVEC	FastViT	fastvit_sa24	0.7283500455788514	44	feature_map_000	0	3
LIVEC	FastViT	fastvit_t8	0.6490428441203282	57	feature_map_000	0	4
LIVEC	FastViT	fastvit_t12	0.4717411121239745	67	feature_map_003	3	5
LIVEC	FastViT	fastvit_s12	0.4480401093892434	69	feature_map_001	1	6
LIVEC	FastViT	fastvit_sa36	0.349134001823154	71	feature_map_002	2	7
LIVEC	FastViTHD	fastvithd_05b	0.9699179580674567	6	block_041	41	1
LIVEC	FastViTHD	fastvithd_15b	0.9594348222424796	10	block_041	41	2
LIVEC	FastViTHD	fastvithd_7b	0.9234275296262534	17	block_035	35	3
LIVEC	I-JEPA	ijepa_vith14	0.9867821330902462	4	hidden_state_031	31	1
LIVEC	InternViT	internvit_6b_v25	0.9567000911577028	11	hidden_state_045	45	1
LIVEC	InternViT	internvit_300m_v25	0.9484958979033729	12	hidden_state_024	24	2
LIVEC	InternViT	internvit_300m	0.8773928896991796	23	hidden_state_003	3	3
LIVEC	MAE	vit_mae_huge	1.0	1	hidden_state_025	25	1
LIVEC	MAE	vit_mae_large	0.9448495897903373	13	hidden_state_002	2	2
LIVEC	MAE	vit_mae_base	0.8701002734731085	27	hidden_state_002	2	3
LIVEC	ResNeXt	resnext101_32x8d	0.8837739288969918	22	feature_map_003	3	1
LIVEC	ResNeXt	resnext50_32x4d	0.5929808568824065	59	feature_map_003	3	2
LIVEC	ResNet	resnet50	0.4990884229717411	64	hidden_state_003	3	1
LIVEC	ResNet	resnet34	0.495897903372835	65	hidden_state_003	3	2
LIVEC	ResNet	resnet18	0.4840474020054695	66	hidden_state_000	0	3
LIVEC	ResNet	resnet152	0.4535095715587967	68	hidden_state_003	3	4
LIVEC	ResNet	resnet101	0.4425706472196901	70	hidden_state_003	3	5
LIVEC	SigLIP	siglip_so400m	0.8204193254329991	30	hidden_state_012	12	1
LIVEC	SigLIP	siglip_large	0.6832269826800365	50	hidden_state_011	11	2
LIVEC	SigLIP	siglip_base	0.6554238833181404	55	hidden_state_000	0	3
LIVEC	SigLIP2	siglip2_base	0.5141294439380127	63	hidden_state_000	0	1
LIVEC	SigLIP2	siglip2_base_naflex	0.2629899726526892	72	pooler_output	1	2
LIVEC	SigLIP2	siglip2_large	0.18413855970829535	73	hidden_state_000	0	3
LIVEC	SigLIP2	siglip2_so400m	0.113947128532361	74	pooler_output	1	4
LIVEC	SigLIP2	siglip2_so400m_naflex	0.0569735642661805	75	pooler_output	1	5
LIVEC	Swin	swin_tiny	0.7183226982680035	45	hidden_state_000	0	1
LIVEC	Swin	swin_base	0.711485870556062	48	hidden_state_000	0	2
LIVEC	Swin	swin_small	0.6818596171376481	51	hidden_state_000	0	3
LIVEC	Swin	swin_large	0.6672743846855059	53	hidden_state_000	0	4
LIVEC	SwinV2	swinv2_base	0.7420237010027347	41	hidden_state_000	0	1
LIVEC	SwinV2	swinv2_tiny	0.7338195077484048	42	hidden_state_000	0	2
LIVEC	SwinV2	swinv2_small	0.7169553327256153	46	hidden_state_000	0	3
LIVEC	SwinV2	swinv2_large	0.711485870556062	49	hidden_state_000	0	4
LIVEC	VGG	vgg13_bn	0.8577939835916135	28	feature_map_000	0	1
LIVEC	VGG	vgg19_bn	0.8062898814949864	32	feature_map_000	0	2
LIVEC	VGG	vgg16_bn	0.7985414767547858	33	feature_map_000	0	3
LIVEC	VGG	vgg11_bn	0.7684594348222424	36	feature_map_000	0	4
LIVEC	VGG	vgg11	0.7515952597994531	38	feature_map_005	5	5
LIVEC	VGG	vgg13	0.7488605287146763	39	feature_map_000	0	6
LIVEC	VGG	vgg16	0.7133090246125797	47	feature_map_000	0	7
LIVEC	VGG	vgg19	0.6636280765724704	54	feature_map_000	0	8
LIVEC	ViT	vit_huge	0.8842297174111213	21	hidden_state_017	17	1
LIVEC	ViT	vit_tiny	0.8728350045578852	26	block_005	5	2
LIVEC	ViT	vit_large	0.7830446672743847	34	hidden_state_001	1	3
LIVEC	ViT	vit_small	0.7561531449407475	37	block_000	0	4
LIVEC	ViT	vit_base	0.6353691886964449	58	hidden_state_001	1	5
PieAPP	CLIP	clip_vit_b16	0.9412032816773017	15	hidden_state_012	12	1
PieAPP	CLIP	clip_vit_b32	0.9143117593436645	23	hidden_state_012	12	2
PieAPP	CLIP	clip_vit_l14	0.7151321786690975	54	hidden_state_002	2	3
PieAPP	CLIP	clip_vit_l14_336	0.7101185050136737	55	image_embeds	26	4
PieAPP	ConvNeXt	convnext_tiny	0.746809480401094	51	hidden_state_002	2	1
PieAPP	ConvNeXt	convnext_large	0.5818140382862351	64	hidden_state_002	2	2
PieAPP	ConvNeXt	convnext_small	0.44621695533272565	70	hidden_state_002	2	3
PieAPP	ConvNeXt	convnext_base	0.3869644484958979	74	hidden_state_002	2	4
PieAPP	DINO	dino_vitb16	0.9753874202370101	7	hidden_state_002	2	1
PieAPP	DINO	dino_vits16	0.9535095715587967	9	hidden_state_002	2	2
PieAPP	DINO	dino_vits8	0.951686417502279	12	hidden_state_002	2	3
PieAPP	DINO	dino_vitb8	0.9425706472196901	14	hidden_state_002	2	4
PieAPP	DINOv2	dinov2_base	0.8664539653600729	32	hidden_state_001	1	1
PieAPP	DINOv2	dinov2_giant	0.8268003646308113	38	hidden_state_003	3	2
PieAPP	DINOv2	dinov2_small	0.6987237921604376	57	hidden_state_011	11	3
PieAPP	DINOv2	dinov2_large	0.4512306289881495	69	hidden_state_004	4	4
PieAPP	DINOv3	dinov3_vits16plus	0.9051959890610757	25	block_000	0	1
PieAPP	DINOv3	dinov3_vits16	0.8910665451230629	27	block_007	7	2
PieAPP	DINOv3	dinov3_vitl16	0.8742023701002735	30	block_011	11	3
PieAPP	DINOv3	dinov3_vit7b16	0.8505013673655424	35	block_021	21	4
PieAPP	DINOv3	dinov3_vitb16	0.7962625341841385	48	block_001	1	5
PieAPP	DINOv3	dinov3_vith16plus	0.7515952597994531	49	block_016	16	6
PieAPP	FastViT	fastvit_t8	0.9412032816773017	16	feature_map_003	3	1
PieAPP	FastViT	fastvit_s12	0.8240656335460347	40	feature_map_003	3	2
PieAPP	FastViT	fastvit_ma36	0.8117593436645396	45	feature_map_002	2	3
PieAPP	FastViT	fastvit_sa12	0.731996353691887	52	feature_map_003	3	4
PieAPP	FastViT	fastvit_t12	0.6777575205104831	61	feature_map_000	0	5
PieAPP	FastViT	fastvit_sa24	0.6007292616226071	63	feature_map_001	1	6
PieAPP	FastViT	fastvit_sa36	0.4865542388331814	68	feature_map_003	3	7
PieAPP	FastViTHD	fastvithd_05b	1.0	1	image_embeddings	44	1
PieAPP	FastViTHD	fastvithd_15b	0.9968094804010939	2	image_embeddings	44	2
PieAPP	FastViTHD	fastvithd_7b	0.9927073837739289	3	block_043	43	3
PieAPP	I-JEPA	ijepa_vith14	0.987693710118505	4	hidden_state_006	6	1
PieAPP	InternViT	internvit_300m	0.8691886964448496	31	hidden_state_003	3	1
PieAPP	InternViT	internvit_300m_v25	0.8441203281677302	36	hidden_state_003	3	2
PieAPP	InternViT	internvit_6b_v25	0.49270738377392886	67	hidden_state_045	45	3
PieAPP	MAE	vit_mae_huge	0.935278030993619	18	hidden_state_022	22	1
PieAPP	MAE	vit_mae_base	0.9038286235186873	26	hidden_state_011	11	2
PieAPP	MAE	vit_mae_large	0.8062898814949863	46	hidden_state_020	20	3
PieAPP	ResNeXt	resnext50_32x4d	0.8644029170464904	33	feature_map_001	1	1
PieAPP	ResNeXt	resnext101_32x8d	0.7484047402005469	50	feature_map_003	3	2
PieAPP	ResNet	resnet18	0.9131722880583409	24	hidden_state_004	4	1
PieAPP	ResNet	resnet34	0.8420692798541477	37	hidden_state_003	3	2
PieAPP	ResNet	resnet50	0.7980856882406564	47	hidden_state_004	4	3
PieAPP	ResNet	resnet101	0.7310847766636281	53	hidden_state_002	2	4
PieAPP	ResNet	resnet152	0.6367365542388332	62	hidden_state_002	2	5
PieAPP	SigLIP	siglip_base	0.9293527803099362	21	hidden_state_012	12	1
PieAPP	SigLIP	siglip_so400m	0.822926162260711	41	image_embeds_l2	29	2
PieAPP	SigLIP	siglip_large	0.8172288058340931	44	hidden_state_012	12	3
PieAPP	SigLIP2	siglip2_base_naflex	0.9535095715587967	10	image_embeds_l2	2	1
PieAPP	SigLIP2	siglip2_large	0.9320875113947129	19	image_embeds_l2	2	2
PieAPP	SigLIP2	siglip2_so400m_naflex	0.818824065633546	42	image_embeds_l2	2	3
PieAPP	SigLIP2	siglip2_base	0.7060164083865086	56	image_embeds_l2	2	4
PieAPP	SigLIP2	siglip2_so400m	0.683682771194166	59	pooler_output	1	5
PieAPP	Swin	swin_tiny	0.6916590701914311	58	hidden_state_002	2	1
PieAPP	Swin	swin_small	0.680264357338195	60	hidden_state_002	2	2
PieAPP	Swin	swin_base	0.5068368277119417	65	hidden_state_002	2	3
PieAPP	Swin	swin_large	0.5015952597994531	66	hidden_state_002	2	4
PieAPP	SwinV2	swinv2_tiny	0.4402917046490428	71	hidden_state_002	2	1
PieAPP	SwinV2	swinv2_base	0.41157702825888787	72	hidden_state_002	2	2
PieAPP	SwinV2	swinv2_small	0.402461257976299	73	hidden_state_002	2	3
PieAPP	SwinV2	swinv2_large	0.2684594348222425	75	hidden_state_002	2	4
PieAPP	VGG	vgg11	0.9494074749316317	13	feature_map_005	5	1
PieAPP	VGG	vgg16	0.9298085688240656	20	feature_map_004	4	2
PieAPP	VGG	vgg19_bn	0.9147675478577939	22	feature_map_005	5	3
PieAPP	VGG	vgg13	0.8835460346399271	28	feature_map_003	3	4
PieAPP	VGG	vgg19	0.8805834092980858	29	feature_map_005	5	5
PieAPP	VGG	vgg13_bn	0.8561987237921604	34	feature_map_004	4	6
PieAPP	VGG	vgg16_bn	0.8247493163172288	39	feature_map_005	5	7
PieAPP	VGG	vgg11_bn	0.8176845943482225	43	feature_map_004	4	8
PieAPP	ViT	vit_huge	0.9849589790337283	5	hidden_state_003	3	1
PieAPP	ViT	vit_tiny	0.9790337283500457	6	block_001	1	2
PieAPP	ViT	vit_large	0.9635369188696445	8	hidden_state_002	2	3
PieAPP	ViT	vit_small	0.9535095715587967	11	block_002	2	4
PieAPP	ViT	vit_base	0.9407474931631723	17	hidden_state_002	2	5
SPAQ	CLIP	clip_vit_l14_336	0.9981006647673314	2	hidden_state_016	16	1
SPAQ	CLIP	clip_vit_l14	0.9919278252611586	3	hidden_state_016	16	2
SPAQ	CLIP	clip_vit_b32	0.9415954415954416	11	hidden_state_004	4	3
SPAQ	CLIP	clip_vit_b16	0.8941120607787274	19	hidden_state_004	4	4
SPAQ	ConvNeXt	convnext_base	0.6490978157644824	42	hidden_state_001	1	1
SPAQ	ConvNeXt	convnext_small	0.6381766381766382	45	hidden_state_002	2	2
SPAQ	ConvNeXt	convnext_tiny	0.49620132953466284	63	hidden_state_001	1	3
SPAQ	ConvNeXt	convnext_large	0.4757834757834758	65	hidden_state_001	1	4
SPAQ	DINO	dino_vitb8	0.5997150997150997	49	hidden_state_005	5	1
SPAQ	DINO	dino_vits8	0.533713200379867	57	hidden_state_006	6	2
SPAQ	DINO	dino_vits16	0.44349477682811017	68	hidden_state_007	7	3
SPAQ	DINO	dino_vitb16	0.4069325735992403	70	hidden_state_006	6	4
SPAQ	DINOv2	dinov2_base	0.9710351377018043	7	hidden_state_005	5	1
SPAQ	DINOv2	dinov2_small	0.9672364672364673	8	hidden_state_007	7	2
SPAQ	DINOv2	dinov2_large	0.9349477682811016	12	hidden_state_012	12	3
SPAQ	DINOv2	dinov2_giant	0.9197530864197532	14	hidden_state_017	17	4
SPAQ	DINOv3	dinov3_vith16plus	0.7283950617283951	32	block_011	11	1
SPAQ	DINOv3	dinov3_vitb16	0.6970560303893638	35	block_000	0	2
SPAQ	DINOv3	dinov3_vits16plus	0.6847103513770181	38	block_000	0	3
SPAQ	DINOv3	dinov3_vitl16	0.6305792972459638	46	block_009	9	4
SPAQ	DINOv3	dinov3_vits16	0.5987654320987654	51	block_001	1	5
SPAQ	FastViT	fastvit_sa24	0.9434947768281101	10	feature_map_002	2	1
SPAQ	FastViT	fastvit_ma36	0.9064577397910731	16	feature_map_000	0	2
SPAQ	FastViT	fastvit_s12	0.7155745489078822	33	feature_map_000	0	3
SPAQ	FastViT	fastvit_sa12	0.6951566951566952	36	feature_map_001	1	4
SPAQ	FastViT	fastvit_sa36	0.6657169990503324	40	feature_map_000	0	5
SPAQ	FastViT	fastvit_t12	0.5992402659069326	50	feature_map_000	0	6
SPAQ	FastViT	fastvit_t8	0.4686609686609686	66	feature_map_001	1	7
SPAQ	FastViTHD	fastvithd_15b	0.913105413105413	15	block_023	23	1
SPAQ	FastViTHD	fastvithd_05b	0.9050332383665718	17	block_025	25	2
SPAQ	FastViTHD	fastvithd_7b	0.9036087369420702	18	block_013	13	3
SPAQ	I-JEPA	ijepa_vith14	0.7478632478632479	28	hidden_state_002	2	1
